Requirement	요구사항
Responsibility	책임
Review	리뷰
Approve	승인
Copyright	저작권
License	라이선스
supply chain	공급망
open source	오픈소스
Conformance	준수
Introduction	소개
Definition	정의
artifacts	결과물
organization	조직
Disclaimer	면책
policy	정책
process	프로세스
flexibility	유연성
Verification Artifacts	검증 결과물
OpenChain Conforming	OpenChain 준수
program	프로그램
Identified License	식별된 라이선스
Supplied Software	공급 대상 Software
Distributed Compliance Artifacts	배포할 Compliance 결과물
copyright notice	저작권 고지
modification notifications	수정 내용 고지
attribution notices	저작자 고지
Liaison	연락담당자
product	제품
Software Staff	Software 공급담당자
Rationale	이유
Training	교육
project	프로젝트
licensing	라이선싱
test	테스트
procedure	절차
FOSS Compliance Role	FOSS Compliance 담당자
documented procedure	문서화된 절차
evidence	증거
inventory	목록
Binary Form	바이너리 형태
source form	소스 형태
source code	소스 코드
build	빌드
script	스크립트
written offer	서면 청약
Contribution	기여
Community	커뮤니티
Specification	설명서
obligation	의무
restriction	제한
right	권리
use case	사용 사례
affirm	확약한다
Version	버전
Disclaimer	면책
Software	소프트웨어
Engineer	엔지니어
Slide	슬라이드
Online	온라인
email	이메일
Contents	목차	Contents
downstream	하위
upstream	상위
standard	표준적
Vision	비전
Mission	사명
release	출시
curriculum	교육과정
US law	미국 법률
jurisdiction	관할권
identify	식별하다
Intellectual Property	지적 재산권
Pitfall	함정
Developer	개발자
Guideline	가이드라인
original work	원본 저작물
authorship	저자
Patent	특허
Trade secret	영업 비밀
Trademark	상표
Binary Code	바이너리 코드
copyright owner	저작권 소유자
derivative work	파생 저작물
US Copyright Act	미국 저작권법
Distribution	배포
entity	엔터티
functionality	기능
copyright law	저작권법
CHAPTER	장
modification	수정
redistribution	재배포
attributions	귀속에 관한 고지
copyright statement	저작권 표시
set	집합
Example	예
Reciprocity	상호주의
Proprietary License	독점 라이선스
Closed Source	폐쇄 소스
Freeware	프리웨어
Shareware	셰어웨어	Shareware
component	컴포넌트
Incorporation	결합
Linking	링킹	Linking
Translation	번역
Integrating	통합
Merging	병합
Pasting	붙여넣기
Adapting	개작	Adapting
Inserting	삽입
Pairing	페어링
Combining	결합
Utilizing	활용
Packaging	패키징
interdependency	상호의존성
Adding	추가
Injecting	주입
Deleting	삭제
binary	바이너리
Compiling	컴파일
Development	개발
Tools	도구
material	자료
distribution	배포
hardware	하드웨어
Changing	변경
compliance	컴플라이언스
Manager	관리자
identity	정체
origin	출처
Package	패키지
responsiveness	반응성
representative	대표자
Legal	법무팀
Scanning	스캐닝
guidance	가이드
Identification	식별
Audit	검사
Registration	등록
Notice	고지
Verification	확인
Outcome	결과
issue	문제
template	템플릿
report	보고서
Proprietary	독점
Legend	범례
User Space	사용자 영역
Kernel Space	커널 영역
Architecture	아키텍처
accompanying	수반되는
